div3, div, Fail, ChrisDeverall, standard_negative; exit code 0 (expected -4)
div4, div, Pass, ChrisDeverall, div_zero; exit code 0
div5, div, Pass, ChrisDeverall, overflow; exit code 0
divu1, divu, Pass, ChrisDeverall, standard; exit code 2
divu2, divu, Pass, ChrisDeverall, negative; exit code -1
divu3, divu, Pass, ChrisDeverall, div_zero; exit code 0
factorial1, stack, Pass, QFSW, 1!; exit code 1
factorial2, stack, Pass, QFSW, 3!; exit code 6
factorial3, stack, Pass, QFSW, 4!; exit code 24
factorial4, stack, Pass, QFSW, 5!; exit code 120
factorial5, stack, Pass, QFSW, stackdepth=0x5000; exit code 0
filedump1, lw, Fail, QFSW, EOF; exit code 0 (expected -1)
filedump2, lh, Fail, QFSW, EOF; exit code 0 (expected -1)
filedump3, lb, Fail, QFSW, EOF; exit code 0 (expected -1)
filedump4, lh, Fail, QFSW, EOF-offset; exit code 2 (expected 0)
filedump5, lb, Pass, QFSW, EOF-offset; exit code 0
filedump6, lhu, Fail, QFSW, EOF-offset; exit code 0 (expected 1)
filedump7, lbu, Pass, QFSW, EOF-offset; exit code 1
hello, sw, Pass, QFSW, testing PUTC; exit code 0
j1, j, Pass, QFSW, exit code 3
j2, j, Fail, QFSW, bad-pc; exit code 1 (expected -11)
j3, j, Fail, QFSW, delay-slot; exit code 14 (expected 12)
j4, j, Fail, QFSW, exit code 4 (expected 3)
jal1, jal, Pass, QFSW, exit code 5
jal2, jal, Fail, QFSW, bad-pc; exit code 1 (expected -11)
jal3, jal, Fail, QFSW, delay-slot; exit code 14 (expected 12)
jal4, jal, Fail, QFSW, chain; exit code 0 (expected 20)
jalr1, jalr, Pass, QFSW, exit code 20
jalr2, jalr, Fail, QFSW, exit code 4 (expected 20)
jalr3, jalr, Fail, QFSW, delay-slot; exit code 5 (expected 21)
jalr4, jalr, Fail, QFSW, exit code -11 (expected 0)
jalr5, jalr, Pass, QFSW, exit code 5
jalr6, jalr, Fail, QFSW, exit code -11 (expected 8)
jr1, jr, Pass, QFSW, exit code 0
jr2, jr, Pass, QFSW, bad-pc; exit code -11
jr3, jr, Pass, QFSW, bad-pc; exit code -11
jr4, jr, Fail, QFSW, delay-slot; exit code -11 (expected 2)
jr5, jr, Fail, QFSW, exit code -11 (expected 3)
jr6, jr, Pass, QFSW, misaligned-pc; exit code -11
lb10, lb, Fail, QFSW, instr-nops; exit code -11 (expected 0)
lb11, lb, Pass, QFSW, addr-null; exit code -11
lb12, lb, Fail, ChrisDeverall, getc-offset; exit code 0 (expected 72)
lb13, lb, Fail, ChrisDeverall, null+eof; exit code 0 (expected -1)
lb1, lb, Fail, QFSW, exit code 0 (expected 100)
lb2, lb, Fail, QFSW, exit code 0 (expected 100)
lb3, lb, Fail, QFSW, exit code 0 (expected 100)
lb4, lb, Fail, QFSW, sign-extension; exit code 0 (expected -1)
lb5, lb, Fail, QFSW, exit code 0 (expected 1)
lb6, lb, Pass, QFSW, outofrange; exit code -11
lb7, lb, Fail, QFSW, getc; exit code 0 (expected 72)
lb8, lb, Pass, QFSW, putc; exit code -11
lb9, lb, Fail, QFSW, instr; exit code 0 (expected 13)
lbu10, lbu, Pass, QFSW, instr-nops; exit code 0
lbu11, lbu, Pass, QFSW, addr-null; exit code -11
lbu12, lbu, Fail, ChrisDeverall, getc-offset; exit code 0 (expected 72)
lbu1, lbu, Fail, QFSW, exit code 0 (expected 100)
lbu2, lbu, Fail, QFSW, exit code 0 (expected 100)
lbu3, lbu, Fail, QFSW, exit code 0 (expected 100)
lbu4, lbu, Pass, QFSW, zero-extension; exit code 0
lbu5, lbu, Fail, QFSW, exit code 0 (expected 1)
lbu6, lbu, Pass, QFSW, outofrange; exit code -11
lbu7, lbu, Fail, QFSW, getc; exit code 0 (expected 72)
lbu8, lbu, Pass, QFSW, putc; exit code -11
lbu9, lbu, Fail, QFSW, instr; exit code 0 (expected 13)
lh10, lh, Pass, QFSW, instr-nops; exit code 0
lh11, lh, Pass, QFSW, addr-null; exit code -11
lh12, lh, Fail, ChrisDeverall, getc-offset; exit code 0 (expected 72)
lh13, lh, Fail, ChrisDeverall, null+eof; exit code 0 (expected -1)
lh1, lh, Fail, QFSW, exit code 0 (expected 100)
lh2, lh, Pass, QFSW, misaligned; exit code -11
lh3, lh, Fail, QFSW, exit code 0 (expected 100)
lh4, lh, Fail, QFSW, sign-extension; exit code 0 (expected -1)
lh5, lh, Fail, QFSW, exit code 0 (expected 3)
lh6, lh, Pass, QFSW, outofrange; exit code -11
lh7, lh, Fail, QFSW, getc; exit code 0 (expected 72)
lh8, lh, Pass, QFSW, putc; exit code -11
